Date,Gold,SP500,BCA,Telkom,Bitcoin
2023-07-18,8536.42578125,183.63999938964844,438.6932373046875,3363.397216796875,29856.5625
2023-07-19,8536.42578125,183.6699981689453,439.66876220703125,3363.397216796875,29913.923828125
2023-07-20,8536.42578125,182.74000549316406,436.7518310546875,3363.397216796875,29792.015625
2023-07-21,8536.42578125,182.17999267578125,436.7518310546875,3372.13330078125,29908.744140625
2023-07-24,8489.77734375,181.39999389648438,438.7029113769531,3407.07763671875,29176.916015625
2023-07-25,8536.42578125,182.41000366210938,439.90057373046875,3389.60546875,29227.390625
2023-07-26,8723.013671875,183.3000030517578,439.96826171875,3389.60546875,29354.97265625
2023-07-27,8606.396484375,180.4199981689453,437.0513000488281,3249.827880859375,29210.689453125
2023-07-28,8513.1015625,181.86000061035156,441.3301086425781,3249.827880859375,29319.24609375
2023-07-31,8513.1015625,182.35000610351562,442.1705322265625,3249.827880859375,29230.111328125
2023-08-01,8513.1015625,180.4600067138672,440.9051513671875,3276.036376953125,29675.732421875
2023-08-02,8583.072265625,179.60000610351562,434.7718200683594,3223.61962890625,29151.958984375
2023-08-03,8629.720703125,179.5399932861328,433.52581787109375,3249.827880859375,29178.6796875
2023-08-04,8536.42578125,180.19000244140625,431.5650634765625,3223.61962890625,29074.091796875
2023-08-07,8653.04296875,179.77999877929688,435.33203125,3214.883544921875,29180.578125
2023-08-08,8583.072265625,178.63999938964844,433.43890380859375,3258.564208984375,29765.4921875
2023-08-09,8769.66015625,177.7899932861328,430.5412902832031,3293.50830078125,29561.494140625
2023-08-10,8769.66015625,177.60000610351562,430.6958312988281,3319.716796875,29429.591796875
2023-08-11,8769.66015625,177.60000610351562,430.44464111328125,3328.452880859375,29397.71484375
2023-08-14,8723.013671875,177.05999755859375,432.8207702636719,3345.925048828125,29408.443359375
2023-08-15,8676.3662109375,176.58999633789062,427.77886962890625,3337.188720703125,29170.34765625
2023-08-16,8676.3662109375,175.57000732421875,424.6397705078125,3345.925048828125,28701.779296875
2023-08-17,8676.3662109375,175.3000030517578,421.40399169921875,3345.925048828125,26664.55078125
2023-08-18,8629.720703125,175.3300018310547,421.6068115234375,3284.772216796875,26049.556640625
2023-08-21,8559.7490234375,175.80999755859375,424.3498840332031,3267.300048828125,26124.140625
2023-08-22,8676.3662109375,176.10000610351562,423.2005615234375,3276.036376953125,26031.65625
2023-08-23,8676.3662109375,177.88999938964844,427.9140625,3267.300048828125,26431.640625
2023-08-24,8583.072265625,177.85000610351562,421.98358154296875,3249.827880859375,26162.373046875
2023-08-25,8653.04296875,177.6199951171875,424.95843505859375,3249.827880859375,26047.66796875
2023-08-28,8583.072265625,178.1300048828125,427.6533203125,3232.355712890625,26106.150390625
2023-08-29,8629.720703125,179.8699951171875,433.8349304199219,3249.827880859375,27727.392578125
2023-08-30,8583.072265625,180.32000732421875,435.6218566894531,3328.452880859375,27297.265625
2023-08-31,8559.7490234375,180.02000427246094,434.9842529296875,3258.564208984375,25931.47265625
2023-09-01,8606.396484375,180.11000061035156,435.7956237792969,3249.827880859375,25800.724609375
2023-09-05,8606.396484375,178.63999938964844,433.91217041015625,3267.300048828125,25779.982421875
2023-09-06,8536.42578125,177.8300018310547,430.9952087402344,3310.98046875,25753.236328125
2023-09-07,8559.7490234375,178.02000427246094,429.67193603515625,3284.772216796875,26240.1953125
2023-09-08,8513.1015625,178.0800018310547,430.3190612792969,3223.61962890625,25905.654296875
2023-09-11,8513.1015625,178.41000366210938,433.14910888671875,3232.355712890625,25162.654296875
2023-09-12,8489.77734375,177.49000549316406,430.7730712890625,3241.091796875,25833.34375
2023-09-13,8466.455078125,177.0800018310547,431.2752990722656,3241.091796875,26228.32421875
2023-09-14,8489.77734375,177.1699981689453,434.99395751953125,3214.883544921875,26539.673828125
2023-09-15,8396.4833984375,178.33999633789062,429.7530212402344,3249.827880859375,26608.693359375
2023-09-18,8396.4833984375,179.38999938964844,430.0050048828125,3214.883544921875,26754.28125
2023-09-19,8466.455078125,179.22000122070312,429.1133117675781,3258.564208984375,27211.1171875
2023-09-20,8536.42578125,179.35000610351562,425.1682434082031,3328.452880859375,27132.0078125
2023-09-21,8513.1015625,178.0500030517578,418.1409606933594,3328.452880859375,26567.6328125
2023-09-22,8466.455078125,178.6199951171875,417.20074462890625,3372.13330078125,26579.568359375
2023-09-25,8396.4833984375,177.6999969482422,418.9551696777344,3293.50830078125,26298.48046875
2023-09-26,8349.8369140625,176.27999877929688,412.8001708984375,3284.772216796875,26217.25
2023-09-27,8279.865234375,174.10000610351562,412.9649658203125,3249.827880859375,26352.716796875
2023-09-28,8279.865234375,173.22999572753906,415.35906982421875,3249.827880859375,27021.546875
2023-09-29,8233.2197265625,171.4499969482422,414.35101318359375,3276.036376953125,26911.720703125
2023-10-02,8466.455078125,169.64999389648438,414.1862487792969,3276.036376953125,27530.78515625
2023-10-03,8583.072265625,169.16000366210938,408.6419372558594,3293.50830078125,27429.978515625
2023-10-04,8583.072265625,169.13999938964844,411.6176452636719,3302.24462890625,27799.39453125
2023-10-05,8466.455078125,168.8300018310547,411.4625244140625,3249.827880859375,27415.912109375
